IP Address;type;Coordinates;;Name
41.223.156.170;Point; -8.419200; 20.744699;ANGOLATELECOM
41.221.254.22;Point; -12.500000; 18.500000;EBONET
168.167.8.1;Point; -24.646400; 25.911900;BTC-GATE1
168.167.220.2;Point; -24.646400; 25.911900;BTC-GATE1
41.242.128.134;Point; 0.000000; 25.000000;VODACOM-CONGO
213.55.95.15;Point; 8.000000; 38.000000;EthioNet-AS
213.55.96.149;Point; 8.000000; 38.000000;EthioNet-AS
213.55.96.150;Point; 8.000000; 38.000000;EthioNet-AS
213.55.85.42;Point; 8.000000; 38.000000;EthioNet-AS
213.55.101.26;Point; 10.433300; 39.400002;EthioNet-AS
213.55.90.6;Point; 8.000000; 38.000000;EthioNet-AS
213.55.98.158;Point; 8.000000; 38.000000;EthioNet-AS
41.204.161.16;Point; 1.000000; 38.000000;KENET-AS
194.201.253.8;Point; 51.500000; -0.130000;KENYAWEB
41.89.96.80;Point; 1.000000; 38.000000;KENET-AS
41.204.161.16;Point; 1.000000; 38.000000;KENET-AS
41.188.42.18;Point; -20.000000; 47.000000;TGN
41.188.61.248;Point; -20.000000; 47.000000;TGN
41.70.16.34;Point; -13.666700; 33.299999;globe-as
41.70.31.194;Point; -13.666700; 33.299999;globe-as
41.87.6.25;Point; -13.500000; 34.000000;MTL-AS
41.221.98.158;Point; -13.500000; 34.000000;MTL-AS
196.3.96.21;Point; -25.965300; 32.589199;EMUNET
196.3.99.98;Point; -25.965300; 32.589199;EMUNET
41.220.160.149;Point; -25.965300; 32.589199;TDM-AS
196.3.96.240;Point; -25.965300; 32.589199;EMUNET
196.3.96.21;Point; -25.965300; 32.589199;EMUNET
41.205.129.146;Point; -22.000000; 17.000000;TELECOM-NAMIBIA
196.12.10.105;Point; -22.000000; 17.000000;Polytechnic-NA
41.222.244.13;Point; -2.000000; 30.000000;NUS-AS
197.243.16.110;Point; -2.000000; 30.000000;RDB
197.243.16.104;Point; -2.000000; 30.000000;RDB
137.158.158.44;Point; -33.925800; 18.423201;UCT
196.21.236.147;Point; -33.983299; 18.400000;TENET-1
146.182.34.110;Point; -29.000000; 24.000000;UOFS
146.230.128.52;Point; -29.857901; 31.029200;TENET-1
196.21.218.26;Point; -33.983299; 18.400000;TENET-1
143.160.38.244;Point; -26.716700; 27.100000;PUKNET
137.215.97.20;Point; -25.706900; 28.229401;TENET-1
146.231.129.7;Point; -30.795401; 27.964701;Rhodes-Univ
146.232.21.146;Point; -33.934601; 18.866800;TENET-1
196.21.45.85;Point; -33.900200; 18.628500;TENET-1
146.141.9.215;Point; -29.000000; 24.000000;TENET-1
196.44.161.193;Point; -6.000000; 35.000000;UNIV-DAR
41.73.194.141;Point; -6.000000; 35.000000;Zantel-AS
41.93.37.4;Point; -6.000000; 35.000000;TERNET
41.204.150.67;Point; -6.000000; 35.000000;Zantel-AS
41.93.31.1;Point; -6.000000; 35.000000;TERNET
41.78.64.5;Point; -6.183300; 35.750000;Zantel-AS
196.43.133.74;Point; 0.315600; 32.565601;RENU
41.63.1.2;Point; -15.000000; 30.000000;ZAMREN
41.63.3.8;Point; -15.000000; 30.000000;ZAMREN
41.63.16.6;Point; -14.500000; 27.150000;ZAMREN
197.220.12.243;Point; -15.000000; 30.000000;afczas
196.220.96.209;Point; -20.000000; 30.000000;NUoS-ASN
41.78.77.122;Point; -17.817801; 31.044701;POWERTEL
41.78.78.26;Point; -20.000000; 30.000000;POWERTEL
197.155.226.212;Point; -20.000000; 30.000000;LIQUID-AS Liquid Telecommunications Ltd
